EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
ES148056	EXP3727	46371	Flow_Cytometry	FCM
ES148057	EXP3727	46373	Flow_Cytometry	FCM
ES148057	EXP3727	46372	Flow_Cytometry	FCM
ES148060	EXP3727	46378	Flow_Cytometry	FCM
ES148061	EXP3727	46380	Flow_Cytometry	FCM
ES148064	EXP3727	46386	Flow_Cytometry	FCM
ES148067	EXP3727	46392	Flow_Cytometry	FCM
ES148077	EXP3727	46413	Flow_Cytometry	FCM
ES148079	EXP3727	46416	Flow_Cytometry	FCM
ES148082	EXP3727	46423	Flow_Cytometry	FCM
ES148084	EXP3727	46427	Flow_Cytometry	FCM
ES148085	EXP3727	46428	Flow_Cytometry	FCM
ES148086	EXP3727	46430	Flow_Cytometry	FCM
ES148086	EXP3727	46431	Flow_Cytometry	FCM
ES148088	EXP3727	46435	Flow_Cytometry	FCM
ES148089	EXP3727	46436	Flow_Cytometry	FCM
ES148092	EXP3727	46443	Flow_Cytometry	FCM
ES148096	EXP3727	46451	Flow_Cytometry	FCM
ES148097	EXP3727	46452	Flow_Cytometry	FCM
ES148099	EXP3727	46457	Flow_Cytometry	FCM
ES148105	EXP3727	46469	Flow_Cytometry	FCM
ES148107	EXP3727	46473	Flow_Cytometry	FCM
ES148113	EXP3727	46485	Flow_Cytometry	FCM
ES148116	EXP3727	46491	Flow_Cytometry	FCM
ES148130	EXP3727	46518	Flow_Cytometry	FCM
ES148131	EXP3727	46521	Flow_Cytometry	FCM
ES148132	EXP3727	46523	Flow_Cytometry	FCM
ES148135	EXP3727	46528	Flow_Cytometry	FCM
ES148137	EXP3727	46532	Flow_Cytometry	FCM
ES148139	EXP3727	46536	Flow_Cytometry	FCM
ES148147	EXP3727	46553	Flow_Cytometry	FCM
ES148149	EXP3727	46557	Flow_Cytometry	FCM
ES148150	EXP3727	46559	Flow_Cytometry	FCM
ES148150	EXP3727	46558	Flow_Cytometry	FCM
ES148159	EXP3727	46576	Flow_Cytometry	FCM
ES148160	EXP3727	46578	Flow_Cytometry	FCM
ES148162	EXP3727	46582	Flow_Cytometry	FCM
ES148167	EXP3727	46592	Flow_Cytometry	FCM
ES148169	EXP3727	46596	Flow_Cytometry	FCM
ES148180	EXP3727	46619	Flow_Cytometry	FCM
ES148183	EXP3727	46625	Flow_Cytometry	FCM
ES148189	EXP3727	46636	Flow_Cytometry	FCM
ES148190	EXP3727	46638	Flow_Cytometry	FCM
ES148198	EXP3727	46655	Flow_Cytometry	FCM
ES148200	EXP3727	46658	Flow_Cytometry	FCM
ES148201	EXP3727	46661	Flow_Cytometry	FCM
ES148202	EXP3727	46663	Flow_Cytometry	FCM
ES148202	EXP3727	46662	Flow_Cytometry	FCM
ES148209	EXP3727	46676	Flow_Cytometry	FCM
ES148212	EXP3727	46683	Flow_Cytometry	FCM
ES148227	EXP3727	46712	Flow_Cytometry	FCM
ES148230	EXP3727	46718	Flow_Cytometry	FCM
ES148231	EXP3727	46721	Flow_Cytometry	FCM
ES148240	EXP3727	46738	Flow_Cytometry	FCM
ES148244	EXP3727	46746	Flow_Cytometry	FCM
ES148246	EXP3727	46751	Flow_Cytometry	FCM
